x,y,z
7697.486638250826,4746.390629104394,-517.87
7761.4161623379005,5093.615414006047,-517.87
7825.35275749279,5440.833127839891,-517.87
7884.9477170111895,5788.800374861789,-517.87
7934.798745084845,6138.309114666677,-517.87
7976.525116242661,6488.885585711156,-517.87
8021.603173543303,6839.0377926869205,-517.87
8026.390286451937,6926.89581024935,-517.87
8027.825713217746,7014.98010198176,-517.87
8023.94369698903,7191.339604277496,-517.87
8019.821264454717,7279.508748823646,-517.87
8015.7059029882075,7367.670822301985,-517.87
8007.453966851761,7544.002040326474,-517.87
7995.390725164718,7896.848324138561,-517.87
7987.039794078904,8249.772389696578,-517.87
7984.006305987616,8602.809592339585,-517.87
7978.667649789655,8955.83265284697,-517.87
7975.902862275216,9132.333576498944,-517.87
7973.131003692964,9308.84157121873,-517.87
7971.766287605275,9397.095568578623,-517.87
7970.394500449773,9485.356637006329,-517.87
7967.665068274393,9661.864631726114,-517.87
7962.241559262693,10014.873550097876,-517.87
7956.8746187934885,10367.896610605258,-517.87
7953.254232073814,10720.912600044829,-517.87
7952.943105090089,10897.618584663349,-517.86
7944.641671478959,11073.674031043176,-517.86
7934.565399847052,11161.192637350634,-517.79
7921.26472129293,11248.414258809995,-517.72
7890.9369114478395,11422.525161541558,-517.58
7815.156277708076,11752.029850506678,-517.33
7576.514810125431,4748.936213516665,-767.06
7639.963501601298,5093.516419056682,-767.06
7703.412193077169,5438.11076673232,-767.06
7762.681883476227,5783.41929225696,-767.06
7812.4268455326965,6130.233955225527,-767.06
7853.96936892741,6478.137562637119,-767.06
7898.304964107803,6825.680545590308,-767.06
7904.244661069773,6912.852669574986,-767.06
7907.235722754191,7000.229854526207,-767.06
7905.764940649322,7175.168072191759,-767.06
7901.126320164738,7262.6513231601575,-767.06
7896.487699680154,7350.148716264182,-767.06
7887.203387643174,7525.136431404417,-767.06
7875.323993719241,7875.309851583619,-767.06
7865.6861282916725,8225.51862710188,-767.06
7863.182970286267,8575.90417931544,-767.06
7860.163624330602,8926.240234054314,-765.43
7859.668649583771,9101.404725889846,-763.37
7859.180745904756,9276.562146657563,-761.32
7858.4099995132565,9364.17974791439,-760.29
7857.639253121768,9451.78320703559,-759.27
7856.09776033878,9627.004267413618,-757.22
7852.859211280946,9977.44638816967,-753.15
7849.634804358735,10327.888508925724,-749.09
7847.506412947361,10678.337700749587,-745.06
7847.527626150797,10853.636542873544,-743.04
7841.913198308175,11028.603044810345,-741.03
7833.802683527967,11115.570107828478,-740.04
7825.699239815571,11202.544241914424,-739.05
7804.705239482144,11376.188454170404,-737.07
7768.3882352004,11725.555772619053,-732.54
7513.433814175776,4750.258503197483,-891.65
7576.606734006986,5093.374997700445,-891.65
7639.786724906004,5436.484421135592,-891.65
7698.872567541952,5780.308022419738,-891.65
7748.5609610559295,6125.609476876567,-891.65
7789.997418433461,6472.021088979856,-891.65
7833.944104884205,6818.100360895987,-891.65
7839.070629047808,6904.9825711003805,-891.65
7844.197153211411,6991.878923440395,-891.65
7843.949665837994,7166.018110443205,-891.65
7839.098913319056,7253.133665885387,-891.65
7834.255231867926,7340.242150259759,-891.65
7824.560797897859,7514.466190076312,-891.65
7812.752114652045,7863.154686015023,-891.65
7802.506137392651,8211.850253021545,-891.65
7800.200969285983,8560.736738858986,-891.65
7798.249354569907,8909.580798289559,-889.21
7798.815039994857,9083.981614801409,-886.12
7799.380725419807,9258.396573448883,-883.04
7798.928177079848,9345.63940811168,-881.5
7798.482699807701,9432.889313842286,-879.97
7797.58467419559,9607.367912100068,-876.89
7795.548206665775,9956.353392886876,-870.79
7793.504668068148,10305.331802605873,-864.69
7792.253089065445,10654.324354460492,-858.65
7792.514718574486,10828.845379125147,-855.63
7788.265006819554,11003.168413891062,-852.61
7781.9081168566845,11089.895060603594,-851.16
7775.55829796163,11176.628778383936,-849.71
7759.0968520956085,11349.912366181512,-846.81
7730.918646865324,11699.329182104844,-840.15
7447.2274062532815,4751.651503556421,-1016.24
7510.10334123639,5093.099226055781,-1016.24
7572.979276219499,5434.546948555141,-1016.24
7631.85298682109,5776.687635700065,-1016.24
7681.470669656948,6120.292033882044,-1016.24
7722.801061017304,6465.013660778296,-1016.24
7766.330554467146,6809.445373894264,-1016.24
7772.093474733818,6895.889177894321,-1016.24
7777.863466068302,6982.340052962189,-1016.24
7778.846344494148,7155.588285420703,-1016.24
7773.861241686784,7242.272505726362,-1016.24
7768.869067811611,7328.963797099833,-1016.24
7758.891791129063,7502.339308778963,-1016.24
7747.12553429012,7849.330748442825,-1016.24
7736.320942673592,8196.322188106687,-1016.24
7734.1430537875385,8543.511617669283,-1016.24
7733.153104293873,8890.67276296063,-1012.98
7734.673383873425,9064.23212240287,-1008.87
7736.1936634529775,9237.791481845106,-1004.76
7736.087597435799,9324.617123507003,-1002.71
7735.995673554244,9411.442765168898,-1000.67
7735.79768365551,9585.09404849269,-996.57
7735.097647942137,9932.403686208088,-988.42
7734.376399025328,10279.720394991295,-980.3
7734.164266990971,10627.037103774504,-972.25
7734.737023483733,10800.695458166108,-968.22
7731.88738315555,10974.240675472722,-964.2
7727.241691603154,11060.684479472777,-962.29
7722.596000050758,11147.11414133721,-960.38
7710.504474092471,11319.902754387957,-956.56
7690.217580540229,11669.263001768792,-947.77
7376.884423660846,4753.136427796913,-1140.83
7439.399734185547,5092.667890919257,-1140.83
7501.922115778063,5432.19228297379,-1140.83
7560.562481141864,5772.402568606074,-1140.83
7610.081169028355,6114.055352071979,-1140.83
7651.305494371532,6456.818293184346,-1140.83
7694.382439481418,6799.340817991109,-1140.83
7700.76054264772,6885.282576176522,-1140.83
7707.138645814022,6971.224334361935,-1140.83
7709.380174310383,7143.4543330555425,-1140.83
7705.073894012956,7229.671862885618,-1140.83
7700.767613715529,7315.889392715693,-1140.83
7689.206417843132,7488.246670629915,-1140.83
7677.426018868562,7833.286495577702,-1140.83
7666.119381437387,8178.319249457679,-1140.83
7663.976847890393,8523.56413537201,-1140.83
7663.814213330719,8868.766594879471,-1136.76
7666.140594640827,9041.350146963672,-1131.62
7668.481118086551,9213.933699047873,-1126.49
7668.77103186684,9300.278508098561,-1123.93
7669.060945647128,9386.609175013627,-1121.36
7669.640773207699,9559.284650979384,-1116.24
7670.461017073874,9904.649745046516,-1106.06
7671.238834533178,10250.01483911365,-1095.91
7672.2712104337115,10595.379933180782,-1085.84
7672.066149467169,10768.034195943103,-1080.81
7671.868159568436,10940.681387637609,-1075.79
7668.3891942049995,11026.736282908014,-1073.41
7664.896086705936,11112.791178178413,-1071.04
7657.931084911252,11284.908039787035,-1066.3
7645.181949646456,11634.084439404762,-1055.39
7301.344206226688,4754.71327591896,-1265.42
7363.449394818301,5092.024423748378,-1265.42
7425.5545834099175,5429.321429442173,-1265.42
7483.926248196865,5767.26897337466,-1265.42
7533.317656862746,6106.6448730051425,-1265.42
7574.42177405312,6447.138001349901,-1265.42
7617.024957619607,6787.433139795927,-1265.42
7623.9758172786715,6872.787999352956,-1265.42
7630.933748005547,6958.149929977796,-1265.42
7634.448068708043,7129.191989279009,-1265.42
7630.311494038106,7214.8296915485125,-1265.42
7626.189061503785,7300.467393818015,-1265.42
7614.479373207338,7471.70037195015,-1265.42
7602.635334622464,7814.470384130329,-1265.42
7590.91150419039,8157.219183107072,-1265.42
7588.669975694029,8500.187185185983,-1265.42
7589.157879373044,8843.126902993645,-1260.54
