x,y,z
3403669.87,5770600.00,78.00
3403700.00,5770644.24,78.00
3403703.60,5770650.00,78.00
3403722.18,5770677.82,78.00
3403735.73,5770700.00,78.00
3403741.48,5770708.52,78.00
3403750.00,5770723.18,78.00
3403759.80,5770740.20,78.00
3403764.41,5770750.00,78.00
3403777.08,5770777.08,78.00
3403788.61,5770800.00,78.00
3403800.00,5770824.94,78.00
3403810.58,5770850.00,78.00
3403821.61,5770871.61,78.00
3403835.53,5770900.00,78.00
3403840.52,5770909.48,78.00
3403850.00,5770925.28,78.00
3403859.18,5770940.82,78.00
3403865.28,5770950.00,78.00
3403891.81,5770991.81,78.00
3403896.97,5771000.00,78.00
3403898.11,5771001.89,78.00
3403900.00,5771005.03,78.00
3403917.08,5771032.92,78.00
3403926.30,5771050.00,78.00
3403948.45,5771098.45,78.00
3403949.20,5771100.00,78.00
3403950.00,5771102.41,78.00
3403961.71,5771138.29,78.00
3403965.43,5771150.00,78.00
3403971.51,5771171.51,78.00
3403979.61,5771200.00,78.00
3403990.77,5771240.77,78.00
3403993.25,5771250.00,78.00
3403994.65,5771255.35,78.00
3404000.00,5771273.94,78.00
3404006.01,5771293.99,78.00
3404007.91,5771300.00,78.00
3404018.48,5771331.52,78.00
3404023.83,5771350.00,78.00
3404030.71,5771369.29,78.00
3404037.29,5771400.00,78.00
3404040.11,5771409.89,78.00
3404045.94,5771450.00,78.00
3404050.00,5771497.66,78.00
3404050.18,5771500.00,78.00
3404050.17,5771500.17,78.00
3404050.76,5771550.00,78.00
3404050.70,5771550.70,78.00
3404050.00,5771564.61,78.00
3404048.21,5771598.21,78.00
3404048.17,5771600.00,78.00
3404043.57,5771643.57,78.00
3404042.88,5771650.00,78.00
3404037.66,5771687.66,78.00
3404035.77,5771700.00,78.00
3404033.03,5771716.97,78.00
3404028.03,5771750.00,78.00
3404024.35,5771775.65,78.00
3404021.00,5771800.00,78.00
3404018.10,5771831.90,78.00
3404016.26,5771850.00,78.00
3404014.99,5771885.01,78.00
3404013.95,5771900.00,78.00
3404011.86,5771938.14,78.00
3404010.79,5771950.00,78.00
3404009.20,5771959.20,78.00
3404003.50,5772000.00,78.00
3404002.71,5772002.71,78.00
3404000.00,5772012.97,78.00
3403991.80,5772041.80,78.00
3403989.78,5772050.00,78.00
3403982.15,5772067.85,78.00
3403968.30,5772100.00,78.00
3403950.00,5772131.13,78.00
3403937.83,5772150.00,78.00
3403921.86,5772171.86,78.00
3403900.77,5772200.00,78.00
3403900.00,5772200.99,78.00
3403859.18,5772250.00,78.00
3403855.12,5772255.12,78.00
3403850.00,5772261.52,78.00
3403832.31,5772282.31,78.00
3403816.51,5772300.00,78.00
3403800.00,5772321.64,78.00
3403776.24,5772350.00,78.00
3403750.00,5772390.79,78.00
3403744.34,5772400.00,78.00
3403736.64,5772413.36,78.00
3403714.91,5772450.00,78.00
3403700.00,5772468.77,78.00
3403675.71,5772500.00,78.00
3403650.00,5772523.47,78.00
3403621.58,5772550.00,78.00
3403608.92,5772558.92,78.00
3403600.00,5772565.50,78.00
3403580.04,5772580.04,78.00
3403552.41,5772600.00,78.00
3403550.00,5772601.48,78.00
3403546.56,5772603.44,78.00
3403500.00,5772630.24,78.00
3403461.99,5772650.00,78.00
3403453.84,5772653.84,78.00
3403450.00,5772655.62,78.00
3403418.68,5772668.68,78.00
3403400.00,5772676.70,78.00
3403382.96,5772682.96,78.00
3403350.00,5772696.08,78.00
3403347.08,5772697.08,78.00
3403339.14,5772700.00,78.00
3403300.00,5772713.71,78.00
3403279.52,5772720.48,78.00
3403250.00,5772730.07,78.00
3403206.13,5772743.87,78.00
3403200.00,5772745.78,78.00
3403186.67,5772750.00,78.00
3403158.68,5772758.68,78.00
3403150.00,5772761.41,78.00
3403120.72,5772770.72,78.00
3403100.00,5772777.67,78.00
3403083.08,5772783.08,78.00
3403050.00,5772793.88,78.00
3403045.37,5772795.37,78.00
3403030.58,5772800.00,78.00
3403000.00,5772809.93,78.00
3402985.26,5772814.74,78.00
3402950.00,5772826.53,78.00
3402906.77,5772843.23,78.00
3402900.00,5772845.90,78.00
3402890.30,5772850.00,78.00
3402850.00,5772869.21,78.00
3406478.79,5770600.00,75.00
3406450.00,5770612.84,75.00
3406428.82,5770621.18,75.00
3406400.00,5770632.55,75.00
3406350.57,5770649.43,75.00
3406350.00,5770649.62,75.00
3406348.71,5770650.00,75.00
3406300.00,5770664.97,75.00
3406279.50,5770670.50,75.00
3406250.00,5770678.28,75.00
3406212.93,5770687.07,75.00
3406200.00,5770690.02,75.00
3406152.85,5770700.00,75.00
3406150.51,5770700.51,75.00
3406150.00,5770700.63,75.00
3406108.79,5770708.79,75.00
3406100.00,5770710.67,75.00
3406066.85,5770716.85,75.00
3406050.00,5770720.23,75.00
3406024.88,5770724.88,75.00
3406000.00,5770729.74,75.00
3405962.58,5770737.42,75.00
3405950.00,5770739.90,75.00
3405906.83,5770750.00,75.00
3405901.31,5770751.31,75.00
3405900.00,5770751.64,75.00
3405861.62,5770761.62,75.00
3405850.00,5770765.20,75.00
3405822.23,5770772.23,75.00
3405800.00,5770778.88,75.00
3405782.49,5770782.49,75.00
3405750.00,5770790.87,75.00
3405741.97,5770791.97,75.00
3405701.82,5770800.00,75.00
3405700.28,5770800.28,75.00
3405700.00,5770800.35,75.00
3405653.62,5770803.62,75.00
3405650.00,5770804.07,75.00
3405601.79,5770801.79,75.00
3405600.00,5770801.72,75.00
3405567.97,5770800.00,75.00
3405550.00,5770799.04,75.00
3405549.05,5770799.05,75.00
3405500.00,5770799.34,75.00
3405499.41,5770799.41,75.00
3405493.64,5770800.00,75.00
3405454.31,5770804.31,75.00
3405450.00,5770804.77,75.00
3405415.68,5770815.68,75.00
3405400.00,5770820.45,75.00
3405380.49,5770830.49,75.00
3405350.00,5770849.39,75.00
3405349.62,5770849.62,75.00
3405349.01,5770850.00,75.00
3405319.59,5770869.59,75.00
3405300.00,5770880.65,75.00
3405287.74,5770887.74,75.00
3405264.09,5770900.00,75.00
3405250.00,5770907.23,75.00
3405237.88,5770912.12,75.00
