X,Y,Z
521231.98,7700091.03,-517.87
521031.67,7700381.76,-517.87
520831.35,7700672.49,-517.87
520627.44,7700960.68,-517.87
520415.55,7701243.06,-517.87
520197.16,7701520.47,-517.87
519981.45,7701799.94,-517.87
519922.7,7701865.45,-517.87
519861.43,7701928.75,-517.87
519733.98,7702050.71,-517.87
519668.72,7702110.14,-517.87
519603.47,7702169.57,-517.87
519472.95,7702288.42,-517.87
519214.92,7702529.39,-517.87
518959.46,7702773.04,-517.87
518707.68,7703020.53,-517.87
518454.29,7703266.38,-517.87
518327.52,7703389.23,-517.87
518200.75,7703512.08,-517.87
518137.38,7703573.52,-517.87
518074.01,7703634.96,-517.87
517947.27,7703757.83,-517.87
517693.81,7704003.62,-517.87
517440.4,7704249.45,-517.87
517188.21,7704496.51,-517.87
517063.05,7704621.24,-517.86
516932.68,7704739.85,-517.86
516863.67,7704794.61,-517.79
516792.59,7704846.88,-517.72
516648.03,7704948.56,-517.58
516361.46,7705127.96,-517.33
521144.64,7700007.28,-767.06
520945.85,7700295.81,-767.06
520747.05,7700584.33,-767.06
520544.79,7700870.42,-767.06
520334.74,7701150.83,-767.06
520118.1,7701426.21,-767.06
519903.7,7701703.3,-767.06
519846.26,7701769.15,-767.06
519786.59,7701833.05,-767.06
519661.85,7701955.71,-767.06
519596.71,7702014.29,-767.06
519531.56,7702072.88,-767.06
519401.26,7702190.05,-767.06
519145.25,7702429.26,-767.06
518890.8,7702670.08,-767.06
518641.27,7702916.06,-767.06
518391.41,7703161.66,-765.43
518267.2,7703285.17,-763.37
518143,7703408.68,-761.32
518080.5,7703470.09,-760.29
518018.01,7703531.49,-759.27
517893.02,7703654.3,-757.22
517642.93,7703899.81,-753.15
517392.85,7704145.33,-749.09
517143.54,7704391.63,-745.06
517019.61,7704515.59,-743.04
516891.91,7704635.34,-741.03
516824.68,7704691.11,-740.04
516757.45,7704746.88,-739.05
516619.82,7704854.82,-737.07
516347.1,7705076.18,-732.54
521099.1,7699963.62,-891.65
520901.15,7700250.91,-891.65
520703.21,7700538.2,-891.65
520501.87,7700823.1,-891.65
520292.84,7701102.4,-891.65
520077.19,7701376.65,-891.65
519863.55,7701652.44,-891.65
519805.74,7701717.5,-891.65
519747.92,7701782.57,-891.65
519624.61,7701905.52,-891.65
519559.59,7701963.7,-891.65
519494.56,7702021.87,-891.65
519364.51,7702138.21,-891.65
519109.6,7702376.42,-891.65
518855.79,7702615.74,-891.65
518607.46,7702860.81,-891.65
518359.41,7703106.09,-889.21
518236.49,7703229.82,-886.12
518113.56,7703353.55,-883.04
518051.55,7703414.92,-881.5
517989.55,7703476.29,-879.97
517865.53,7703599.04,-876.89
517617.33,7703844.37,-870.79
517369.11,7704089.69,-864.69
517121.46,7704335.58,-858.65
516998.23,7704459.17,-855.63
516871.96,7704579.43,-852.61
516806.14,7704636.26,-851.16
516740.32,7704693.1,-849.71
516606.15,7704803.98,-846.81
516339.16,7705031.14,-840.15
521051.31,7699917.79,-1016.24
520854.32,7700203.69,-1016.24
520657.34,7700489.59,-1016.24
520457.04,7700773.15,-1016.24
520249.16,7701051.2,-1016.24
520034.63,7701324.18,-1016.24
519821.87,7701598.51,-1016.24
519764.81,7701663.71,-1016.24
519707.76,7701728.92,-1016.24
519585.96,7701852.12,-1016.24
519521.13,7701909.89,-1016.24
519456.31,7701967.66,-1016.24
519326.65,7702083.2,-1016.24
519072.97,7702320.24,-1016.24
518819.97,7702557.96,-1016.24
518572.93,7702801.92,-1016.24
518326.76,7703046.69,-1012.98
518205.1,7703170.49,-1008.87
518083.45,7703294.3,-1004.76
518021.98,7703355.62,-1002.71
517960.52,7703416.95,-1000.67
517837.59,7703539.6,-996.57
517591.52,7703784.69,-988.42
517345.41,7704029.76,-980.3
517099.67,7704275.21,-972.25
516977.28,7704398.41,-968.22
516852.55,7704519.11,-964.2
516788.14,7704576.95,-962.29
516723.74,7704634.78,-960.38
516593.01,7704748.4,-956.56
516331.63,7704981.1,-947.77
521000.52,7699869.09,-1140.83
520804.64,7700153.39,-1140.83
520608.76,7700437.68,-1140.83
520409.66,7700719.71,-1140.83
520203.1,7700996.31,-1140.83
519989.87,7701267.83,-1140.83
519778.14,7701540.49,-1140.83
519721.87,7701605.77,-1140.83
519665.61,7701671.05,-1140.83
519545.41,7701794.42,-1140.83
519481.4,7701852.34,-1140.83
519417.39,7701910.26,-1140.83
519287.34,7702023.96,-1140.83
519035.03,7702259.61,-1140.83
518783.07,7702495.59,-1140.83
518537.42,7702738.19,-1140.83
518293.21,7702982.17,-1136.76
518172.82,7703105.86,-1131.62
518052.44,7703229.55,-1126.49
517991.59,7703290.8,-1123.93
517930.75,7703352.06,-1121.36
517809.06,7703474.57,-1116.24
517565.43,7703719.36,-1106.06
517321.77,7703964.12,-1095.91
517078.29,7704209.06,-1085.84
516956.07,7704331,-1080.81
516833.84,7704452.94,-1075.79
516770.53,7704511.32,-1073.41
516707.21,7704569.71,-1071.04
516580.58,7704686.49,-1066.3
516324.66,7704924.38,-1055.39
520945.98,7699816.8,-1265.42
520751.39,7700099.23,-1265.42
520556.79,7700381.65,-1265.42
520359.1,7700661.89,-1265.42
520154.05,7700936.79,-1265.42
519942.35,7701206.62,-1265.42
519731.85,7701477.37,-1265.42
519676.41,7701542.64,-1265.42
519620.97,7701607.91,-1265.42
519502.52,7701731.34,-1265.42
519439.04,7701788.98,-1265.42
519375.56,7701846.62,-1265.42
519246.2,7701959.41,-1265.42
518995.46,7702193.41,-1265.42
518744.8,7702427.49,-1265.42
518500.7,7702668.42,-1265.42
518258.55,7702911.25,-1260.54
518139.43,7703034.59,-1254.37
518020.3,7703157.94,-1248.21
517960.17,7703219.09,-1245.14
517900.04,7703280.25,-1242.06
517779.78,7703402.57,-1235.92
517539.02,7703646.97,-1223.7
517298.2,7703891.32,-1211.52
517057.41,7704135.7,-1199.44
516936.71,7704257.57,-1193.41
516816.02,7704379.43,-1187.37
516754.27,7704438.74,-1184.54
516692.52,7704498.05,-1181.71
516569.03,7704616.66,-1176.05
516318.38,7704859.32,-1163.01
520917.07,7699789.08,-1327.72
520723.2,7700070.46,-1327.72
520529.33,7700351.83,-1327.72
520332.42,7700631.06,-1327.72
520128.23,7700905.01,-1327.72
519917.38,7701173.89,-1327.72
519707.59,7701443.58,-1327.72
519652.58,7701508.81,-1327.72
519597.56,7701574.04,-1327.72
519480.03,7701697.46,-1327.72
519416.88,7701754.97,-1327.72
519353.73,7701812.47,-1327.72
519224.83,7701924.83,-1327.72
518974.95,7702157.89,-1327.72
518725.08,7702390.93,-1327.72
518481.81,7702630.89,-1327.72
518240.74,7702873,-1322.43
518122.24,7702996.06,-1315.75
518003.74,7703119.12,-1309.07
517944.01,7703180.22,-1305.74
517884.28,7703241.32,-1302.41
517764.82,7703363.51,-1295.75
517525.66,7703607.68,-1282.52
517286.45,7703851.79,-1269.32
517047.19,7704095.87,-1256.24
516927.34,7704217.67,-1249.7
516807.5,7704339.47,-1243.16
516746.53,7704399.18,-1240.1
516685.57,7704458.88,-1237.04
516563.64,7704578.28,-1230.92
516315.55,7704823.14,-1216.82
520886.94,7699760.2,-1390.02
520693.86,7700040.44,-1390.02
520500.77,7700320.67,-1390.02
520304.71,7700598.82,-1390.02
520101.44,7700871.73,-1390.02
519891.52,7701139.59,-1390.02
519682.5,7701408.12,-1390.02
519627.92,7701473.29,-1390.02
519573.34,7701538.45,-1390.02
519456.79,7701661.83,-1390.02
519394,7701719.21,-1390.02
519331.22,7701776.59,-1390.02
519202.87,7701888.52,-1390.02
518953.92,7702120.55,-1390.02
518704.92,7702352.51,-1390.02
518462.52,7702591.39,-1390.02
518222.56,7702832.66,-1384.32
518104.69,7702955.37,-1377.13
517986.81,7703078.08,-1369.93
517927.51,7703139.11,-1366.35
517868.21,7703200.14,-1362.76
517749.61,7703322.19,-1355.59
517512.19,7703566.09,-1341.34
517274.71,7703809.94,-1327.13
517037.13,7704053.69,-1313.03
516918.2,7704175.41,-1306
516799.26,7704297.13,-1298.96
516739.08,7704357.18,-1295.67
516678.9,7704417.23,-1292.37
516558.53,7704537.33,-1285.79
516312.94,7704784.24,-1270.63
520855.5,7699730.05,-1452.31
520663.26,7700009.06,-1452.31
520471.02,7700288.07,-1452.31
520275.88,7700565.04,-1452.31
520073.6,7700836.83,-1452.31
519864.7,7701103.58,-1452.31
519656.51,7701370.88,-1452.31
519602.38,7701435.95,-1452.31
519548.25,7701501.01,-1452.31
519432.72,7701624.32,-1452.31
519370.35,7701681.58,-1452.31
519307.98,7701738.84,-1452.31
519180.27,7701850.36,-1452.31
518932.32,7702081.27,-1452.31
518684.28,7702312.08,-1452.31
518442.81,7702549.77,-1452.31
518204,7702790.08,-1446.21
518086.75,7702912.36,-1438.5
517969.49,7703034.63,-1430.79
517910.66,7703095.58,-1426.95
517851.82,7703156.53,-1423.11
517734.15,7703278.43,-1415.43
517498.61,7703522.04,-1400.16
517263.01,7703765.59,-1384.93
517027.25,7704008.99,-1369.83
516909.29,7704130.61,-1362.29
516791.34,7704252.23,-1354.75
516731.94,7704312.57,-1351.23
516672.54,7704372.92,-1347.71
516553.73,7704493.61,-1340.66
516310.57,7704742.43,-1324.44
520822.66,7699698.56,-1514.61
520631.33,7699976.24,-1514.61
520440.01,7700253.93,-1514.61
520245.86,7700529.62,-1514.61
520044.65,7700800.2,-1514.61
519836.84,7701065.76,-1514.61
519629.56,7701331.73,-1514.61
519575.9,7701396.66,-1514.61
519522.23,7701461.6,-1514.61
519407.76,7701584.8,-1514.61
519345.86,7701641.95,-1514.61
519283.96,7701699.09,-1514.61
519156.98,7701810.21,-1514.61
518910.1,7702039.9,-1514.61
518663.13,7702269.5,-1514.61
518422.65,7702505.89,-1514.61
518185.02,7702745.1,-1508.1
518068.39,7702866.85,-1499.88
517951.75,7702988.61,-1491.66
517893.41,7703049.47,-1487.56
517835.08,7703110.33,-1483.46
517718.4,7703232.05,-1475.26
517484.89,7703475.33,-1458.98
517251.32,7703718.55,-1442.74
517017.55,7703961.58,-1426.63
516900.65,7704083.08,-1418.59
516783.75,7704204.58,-1410.54
516725.13,7704265.16,-1406.79
516666.51,7704325.75,-1403.04
516549.27,7704446.91,-1395.53
