x-coord,y-coord,z-coord
517695.79,7692767.51,-230.00
517701.36,7692789.86,-230.00
517710.67,7692827.09,-230.00
517713.93,7692839.86,-230.00
517723.45,7692877.99,-230.00
517726.40,7692889.86,-230.00
517727.35,7692893.76,-230.00
517738.80,7692939.86,-230.00
517743.74,7692960.15,-230.00
517751.10,7692989.86,-230.00
517759.95,7693026.36,-230.00
517763.28,7693039.86,-230.00
517773.45,7693081.90,-230.00
517775.36,7693089.86,-230.00
517775.95,7693092.36,-230.00
517787.37,7693139.86,-230.00
517791.64,7693158.05,-230.00
517799.26,7693189.86,-230.00
517807.13,7693223.54,-230.00
517811.03,7693239.86,-230.00
517822.43,7693288.84,-230.00
517822.67,7693289.86,-230.00
517823.45,7693293.19,-230.00
517834.23,7693339.86,-230.00
517837.37,7693353.78,-230.00
517845.67,7693389.86,-230.00
517852.07,7693418.48,-230.00
517856.96,7693439.86,-230.00
517866.54,7693482.95,-230.00
517868.11,7693489.86,-230.00
517873.45,7693514.02,-230.00
517879.14,7693539.86,-230.00
517880.68,7693547.09,-230.00
517890.02,7693589.86,-230.00
517894.46,7693610.87,-230.00
517900.74,7693639.86,-230.00
517907.95,7693674.36,-230.00
517911.28,7693689.86,-230.00
517921.13,7693737.55,-230.00
517921.62,7693739.86,-230.00
517923.45,7693748.77,-230.00
517931.81,7693789.86,-230.00
517933.84,7693800.25,-230.00
517941.80,7693839.86,-230.00
517946.15,7693862.57,-230.00
517951.55,7693889.86,-230.00
517958.08,7693924.49,-230.00
517961.06,7693939.86,-230.00
517963.06,7693950.25,-230.00
517970.32,7693989.86,-230.00
517970.81,7693992.49,-230.00
517973.45,7694007.21,-230.00
517978.46,7694034.84,-230.00
517979.32,7694039.86,-230.00
517980.52,7694046.93,-230.00
517988.06,7694089.86,-230.00
517990.94,7694107.35,-230.00
517996.48,7694139.86,-230.00
518000.84,7694167.25,-230.00
518004.57,7694189.86,-230.00
518010.20,7694226.62,-230.00
518012.31,7694239.86,-230.00
518019.00,7694285.42,-230.00
518019.68,7694289.86,-230.00
518023.45,7694316.73,-230.00
518026.68,7694339.86,-230.00
518027.15,7694343.56,-230.00
518033.28,7694389.86,-230.00
518037.76,7694425.55,-230.00
518039.44,7694439.86,-230.00
518043.00,7694470.30,-230.00
518045.14,7694489.86,-230.00
518047.89,7694515.41,-230.00
518050.35,7694539.86,-230.00
518052.40,7694560.90,-230.00
518055.04,7694589.86,-230.00
518056.52,7694606.78,-230.00
518059.20,7694639.86,-230.00
518060.20,7694653.10,-230.00
518062.79,7694689.86,-230.00
518063.43,7694699.87,-230.00
518065.79,7694739.86,-230.00
518066.17,7694747.13,-230.00
518068.19,7694789.86,-230.00
518068.39,7694794.92,-230.00
518069.94,7694839.86,-230.00
518070.03,7694843.27,-230.00
518071.04,7694889.86,-230.00
518071.07,7694892.23,-230.00
